time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,label
1.116993,0.6271,0.4788,2.3166,1.8057,0.7122,-1.4034,-66.9,-0.6375,-42.8063,
1.126017,0.602,0.2807,1.9053,1.8057,0.7122,-1.4034,-66.9,-0.6375,-42.8063,
1.133927,0.5062,0.1029,1.4922,1.8057,0.7122,-1.4034,-66.9,-0.6375,-42.8063,
1.135701,0.5062,0.1029,1.4922,1.8057,0.7122,-1.4034,-66.9,-0.6375,-42.8063,
1.155487,0.3762,-0.0525,1.0913,1.8057,0.7122,-1.4034,-66.9,-0.6375,-42.8063,
1.157719,0.3762,-0.0525,1.0913,1.8057,0.7122,-1.4034,-70.875,-2.4188,-41.1,
1.19248,0.3762,-0.0525,1.0913,4.5598,1.9289,-2.3017,-70.875,-2.4188,-41.1,
1.193722,0.3762,-0.0525,1.0913,4.5598,1.9289,-2.3017,-70.875,-2.4188,-41.1,
1.194379,0.1976,-0.1517,0.6278,4.5598,1.9289,-2.3017,-70.875,-2.4188,-41.1,
1.194903,0.0195,-0.203,0.2306,4.5598,1.9289,-2.3017,-70.875,-2.4188,-41.1,
1.214936,-0.1681,-0.2011,-0.1295,4.5598,1.9289,-2.3017,-70.875,-2.4188,-41.1,
1.216708,-0.1681,-0.2011,-0.1295,4.5598,1.9289,-2.3017,-73.6125,-4.3313,-38.9813,
1.248271,-0.3337,-0.1659,-0.3816,4.5598,1.9289,-2.3017,-73.6125,-4.3313,-38.9813,
1.249999,-0.4678,-0.119,-0.5296,4.5598,1.9289,-2.3017,-73.6125,-4.3313,-38.9813,
1.253176,-0.4678,-0.119,-0.5296,4.498,1.1482,-2.3791,-73.6125,-4.3313,-38.9813,
1.255751,-0.4678,-0.119,-0.5296,4.498,1.1482,-2.3791,-73.6125,-4.3313,-38.9813,
1.276896,-0.5626,-0.0518,-0.6684,4.498,1.1482,-2.3791,-73.6125,-4.3313,-38.9813,
1.281625,-0.5626,-0.0518,-0.6684,4.498,1.1482,-2.3791,-75.2812,-5.8875,-36.825,
1.301644,-0.5665,0.0154,-0.7092,4.498,1.1482,-2.3791,-75.2812,-5.8875,-36.825,
1.30382,-0.5665,0.0154,-0.7092,1.9376,0.9354,-1.0036,-75.2812,-5.8875,-36.825,
1.309294,-0.5856,0.0432,-0.7967,1.9376,0.9354,-1.0036,-75.2812,-5.8875,-36.825,
1.311056,-0.5856,0.0432,-0.7967,1.9376,0.9354,-1.0036,-75.2812,-5.8875,-36.825,
